subject,k,auc,model,regime
1,1,0.8081375,xdawn_lda,within_subject
1,2,0.8688125,xdawn_lda,within_subject
1,3,0.937025,xdawn_lda,within_subject
1,4,0.953325,xdawn_lda,within_subject
1,6,0.9837437499999999,xdawn_lda,within_subject
1,8,0.9892875,xdawn_lda,within_subject
1,10,0.9959312499999999,xdawn_lda,within_subject
2,1,0.80685625,xdawn_lda,within_subject
2,2,0.87601875,xdawn_lda,within_subject
2,3,0.9046562499999999,xdawn_lda,within_subject
2,4,0.93033125,xdawn_lda,within_subject
2,6,0.97106875,xdawn_lda,within_subject
2,8,0.98828125,xdawn_lda,within_subject
2,10,0.98968125,xdawn_lda,within_subject
3,1,0.87945625,xdawn_lda,within_subject
3,2,0.94865,xdawn_lda,within_subject
3,3,0.97441875,xdawn_lda,within_subject
3,4,0.98433125,xdawn_lda,within_subject
3,6,0.99729375,xdawn_lda,within_subject
3,8,0.9987937499999999,xdawn_lda,within_subject
3,10,0.999725,xdawn_lda,within_subject
4,1,0.7946625,xdawn_lda,within_subject
4,2,0.8828187500000001,xdawn_lda,within_subject
4,3,0.9342937500000001,xdawn_lda,within_subject
4,4,0.9549124999999998,xdawn_lda,within_subject
4,6,0.97750625,xdawn_lda,within_subject
4,8,0.9888,xdawn_lda,within_subject
4,10,0.997,xdawn_lda,within_subject
5,1,0.87083125,xdawn_lda,within_subject
5,2,0.90615625,xdawn_lda,within_subject
5,3,0.9677500000000001,xdawn_lda,within_subject
5,4,0.978375,xdawn_lda,within_subject
5,6,0.989675,xdawn_lda,within_subject
5,8,0.9951,xdawn_lda,within_subject
5,10,0.99855625,xdawn_lda,within_subject
6,1,0.8539749999999999,xdawn_lda,within_subject
6,2,0.93564375,xdawn_lda,within_subject
6,3,0.9734687500000001,xdawn_lda,within_subject
6,4,0.9788749999999999,xdawn_lda,within_subject
6,6,0.9934375,xdawn_lda,within_subject
6,8,0.9984500000000001,xdawn_lda,within_subject
6,10,0.999575,xdawn_lda,within_subject
7,1,0.8391875,xdawn_lda,within_subject
7,2,0.9148375,xdawn_lda,within_subject
7,3,0.95119375,xdawn_lda,within_subject
7,4,0.9689625000000001,xdawn_lda,within_subject
7,6,0.9903875,xdawn_lda,within_subject
7,8,0.99645625,xdawn_lda,within_subject
7,10,0.9997312500000001,xdawn_lda,within_subject
8,1,0.9487125000000001,xdawn_lda,within_subject
8,2,0.9843625,xdawn_lda,within_subject
8,3,0.993925,xdawn_lda,within_subject
8,4,0.9981125,xdawn_lda,within_subject
8,6,0.9999625,xdawn_lda,within_subject
8,8,0.99999375,xdawn_lda,within_subject
8,10,1.0,xdawn_lda,within_subject
1,1,0.72280625,xdawn_lda,cross_subject
1,2,0.7961125,xdawn_lda,cross_subject
1,3,0.8506437499999999,xdawn_lda,cross_subject
1,4,0.8810312499999999,xdawn_lda,cross_subject
1,6,0.9138437500000001,xdawn_lda,cross_subject
1,8,0.9558375,xdawn_lda,cross_subject
1,10,0.9665874999999999,xdawn_lda,cross_subject
2,1,0.70275625,xdawn_lda,cross_subject
2,2,0.770725,xdawn_lda,cross_subject
2,3,0.8280874999999999,xdawn_lda,cross_subject
2,4,0.8524250000000001,xdawn_lda,cross_subject
2,6,0.8969499999999999,xdawn_lda,cross_subject
2,8,0.92738125,xdawn_lda,cross_subject
2,10,0.9524875,xdawn_lda,cross_subject
3,1,0.8491875000000001,xdawn_lda,cross_subject
3,2,0.9254125,xdawn_lda,cross_subject
3,3,0.9471125,xdawn_lda,cross_subject
3,4,0.961925,xdawn_lda,cross_subject
3,6,0.98809375,xdawn_lda,cross_subject
3,8,0.99693125,xdawn_lda,cross_subject
3,10,0.997875,xdawn_lda,cross_subject
4,1,0.7004625,xdawn_lda,cross_subject
4,2,0.7685375000000001,xdawn_lda,cross_subject
4,3,0.81681875,xdawn_lda,cross_subject
4,4,0.86219375,xdawn_lda,cross_subject
4,6,0.8955500000000001,xdawn_lda,cross_subject
4,8,0.9243125,xdawn_lda,cross_subject
4,10,0.9578312499999999,xdawn_lda,cross_subject
5,1,0.730225,xdawn_lda,cross_subject
5,2,0.7699812500000001,xdawn_lda,cross_subject
5,3,0.86756875,xdawn_lda,cross_subject
5,4,0.8566562499999999,xdawn_lda,cross_subject
5,6,0.8926625,xdawn_lda,cross_subject
5,8,0.950775,xdawn_lda,cross_subject
5,10,0.9619750000000001,xdawn_lda,cross_subject
6,1,0.7819562499999999,xdawn_lda,cross_subject
6,2,0.8316625000000002,xdawn_lda,cross_subject
6,3,0.87755625,xdawn_lda,cross_subject
6,4,0.9075437500000001,xdawn_lda,cross_subject
6,6,0.9506812499999999,xdawn_lda,cross_subject
6,8,0.9692625,xdawn_lda,cross_subject
6,10,0.97855,xdawn_lda,cross_subject
7,1,0.76723125,xdawn_lda,cross_subject
7,2,0.8360624999999999,xdawn_lda,cross_subject
7,3,0.88300625,xdawn_lda,cross_subject
7,4,0.9027124999999999,xdawn_lda,cross_subject
7,6,0.9484812499999999,xdawn_lda,cross_subject
7,8,0.9780562500000001,xdawn_lda,cross_subject
7,10,0.98064375,xdawn_lda,cross_subject
8,1,0.8143625,xdawn_lda,cross_subject
8,2,0.91984375,xdawn_lda,cross_subject
8,3,0.9393062499999999,xdawn_lda,cross_subject
8,4,0.966875,xdawn_lda,cross_subject
8,6,0.9861875,xdawn_lda,cross_subject
8,8,0.9950125,xdawn_lda,cross_subject
8,10,0.99738125,xdawn_lda,cross_subject
1,1,0.84756875,riemann,within_subject
1,2,0.8945062500000001,riemann,within_subject
1,3,0.963875,riemann,within_subject
1,4,0.97203125,riemann,within_subject
1,6,0.99303125,riemann,within_subject
1,8,0.9976437499999999,riemann,within_subject
1,10,0.99766875,riemann,within_subject
2,1,0.8061625,riemann,within_subject
2,2,0.90111875,riemann,within_subject
2,3,0.92963125,riemann,within_subject
2,4,0.9574937499999999,riemann,within_subject
2,6,0.9798875,riemann,within_subject
2,8,0.9943124999999999,riemann,within_subject
2,10,0.99604375,riemann,within_subject
3,1,0.8955249999999999,riemann,within_subject
3,2,0.9568500000000001,riemann,within_subject
3,3,0.9810437499999999,riemann,within_subject
3,4,0.9872500000000001,riemann,within_subject
3,6,0.99909375,riemann,within_subject
3,8,0.999775,riemann,within_subject
3,10,0.9999687500000001,riemann,within_subject
4,1,0.800225,riemann,within_subject
4,2,0.89039375,riemann,within_subject
4,3,0.9400750000000001,riemann,within_subject
4,4,0.954,riemann,within_subject
4,6,0.9745999999999999,riemann,within_subject
4,8,0.9912500000000001,riemann,within_subject
4,10,0.9955750000000001,riemann,within_subject
5,1,0.8803875,riemann,within_subject
5,2,0.92738125,riemann,within_subject
5,3,0.98021875,riemann,within_subject
5,4,0.986675,riemann,within_subject
5,6,0.99485,riemann,within_subject
5,8,0.99865,riemann,within_subject
5,10,0.9999875,riemann,within_subject
6,1,0.8634000000000001,riemann,within_subject
6,2,0.93519375,riemann,within_subject
6,3,0.9782312499999999,riemann,within_subject
6,4,0.9844125,riemann,within_subject
6,6,0.9969250000000001,riemann,within_subject
6,8,0.9988374999999999,riemann,within_subject
6,10,0.99975625,riemann,within_subject
7,1,0.85011875,riemann,within_subject
7,2,0.926125,riemann,within_subject
7,3,0.9607062499999999,riemann,within_subject
7,4,0.97599375,riemann,within_subject
7,6,0.99379375,riemann,within_subject
7,8,0.9963,riemann,within_subject
7,10,0.9995812500000001,riemann,within_subject
8,1,0.95479375,riemann,within_subject
8,2,0.98488125,riemann,within_subject
8,3,0.9963125,riemann,within_subject
8,4,0.997925,riemann,within_subject
8,6,0.9998687500000001,riemann,within_subject
8,8,1.0,riemann,within_subject
8,10,1.0,riemann,within_subject
1,1,0.7601375,riemann,cross_subject
